,language,feature,count
0,Simple English,categories,3.4962962962962965
0,Simple English,headings,5.933333333333334
0,Simple English,length (bytes),10665.173333333334
0,Simple English,media,3.4133333333333336
0,Simple English,references,11.599599196719865
0,Simple English,wikilinks,76.20771173068736
0,Esperanto,categories,3.8405797101449277
0,Esperanto,headings,9.240218347414832
0,Esperanto,length (bytes),14568.130434782608
0,Esperanto,media,7.14975845410628
0,Esperanto,references,11.143269588352176
0,Esperanto,wikilinks,145.28449006702448
0,Ido,categories,1.1675675675675676
0,Ido,headings,6.145024224189477
0,Ido,length (bytes),8423.675675675675
0,Ido,media,6.297297297297297
0,Ido,references,4.511362490002685
0,Ido,wikilinks,127.04358658497546
0,Volapuk,categories,2.3304347826086955
0,Volapuk,headings,2.772330589057444
0,Volapuk,length (bytes),2798.0113876529163
0,Volapuk,media,2.9130434782608696
0,Volapuk,references,0.8371536746133509
0,Volapuk,wikilinks,14.897685354789308
0,Interlingua,categories,1.56078431372549
0,Interlingua,headings,4.480561833191894
0,Interlingua,length (bytes),10430.167230826719
0,Interlingua,media,0.6862745098039216
0,Interlingua,references,16.07843137254902
0,Interlingua,wikilinks,80.77675454378586
0,Interlingue,categories,1.38
0,Interlingue,headings,3.7651434729971163
0,Interlingue,length (bytes),4762.733333333334
0,Interlingue,media,1.7333333333333334
0,Interlingue,references,1.2409743939650713
0,Interlingue,wikilinks,34.976544317038496
0,Novial,categories,1.0625
0,Novial,headings,2.4410271264383923
0,Novial,length (bytes),5471.246346330599
0,Novial,media,2.15625
0,Novial,references,3.25
0,Novial,wikilinks,41.85679669677827
